,rule,stimulus,response,multi_toks_or_oov
0,associate,bug,gross,False
1,associate,limp,injury,False
2,associate,dominant,aggressive,False
3,associate,tune,stereo,False
4,associate,come,travel,False
5,associate,unclear,fuzzy,False
6,associate,constitution,old,False
7,associate,rider,bike,False
8,associate,chill,frost,False
9,associate,oboe,band,False
10,associate,rod,wheel,False
11,associate,athlete,exercise,False
12,associate,upstairs,staircase,False
13,associate,pedal,push,False
14,associate,critical,injury,False
15,associate,home,family,False
16,associate,rocks,sand,False
17,associate,come,stay,False
18,associate,france,germany,False
19,associate,coward,hero,False
20,associate,grip,grab,False
21,associate,digit,finger,False
22,associate,bay,horse,False
23,associate,accomplished,productive,False
24,associate,reason,plan,False
25,associate,news,local,False
26,associate,russia,red,False
27,associate,concrete,fix,False
28,associate,demand,want,False
29,associate,therapy,cough,False
30,associate,gather,spread,False
31,associate,nylon,silk,False
32,associate,infection,ear,False
33,associate,cabbage,red,False
34,associate,section,piece,False
35,associate,topic,title,False
36,associate,torch,hot,False
37,associate,monthly,daily,False
38,associate,song,lyrics,False
39,associate,unsure,scared,False
40,associate,tap,knock,False
41,associate,hearing,noise,False
42,associate,spouse,husband,False
43,associate,scarf,wrap,False
44,associate,mirage,dream,False
45,associate,punish,withdraw,False
46,associate,sandals,straps,False
47,associate,hopeless,hopeful,False
48,associate,compassion,empathy,False
49,associate,vegetables,good,False
50,associate,activity,movement,False
51,associate,obscure,rare,False
52,associate,thunder,loud,False
53,associate,scrap,scratch,False
54,associate,dollar,penny,False
55,associate,trombone,music,False
56,associate,religious,person,False
57,associate,cleaner,comet,False
58,associate,mad,upset,False
59,associate,thesis,masters,False
60,associate,panel,wall,False
61,associate,destruction,destroy,False
62,associate,faint,unconscious,False
63,associate,vase,plant,False
64,associate,special,favorite,False
65,associate,ticket,pass,False
66,associate,apple,red,False
67,associate,exchange,return,False
68,associate,promise,ring,False
69,associate,vault,bank,False
70,associate,tradition,ritual,False
71,associate,monster,dracula,False
72,associate,alone,without,False
73,associate,rebel,yankee,False
74,associate,energy,sun,False
75,associate,private,personal,False
76,associate,term,summer,False
77,associate,slogan,theme,False
78,associate,vivid,color,False
79,associate,scenery,nature,False
80,associate,threat,danger,False
81,associate,scientific,math,False
82,associate,style,modern,False
83,associate,attic,house,False
84,associate,chairperson,office,False
85,associate,fur,hot,False
86,associate,nasty,dirty,False
87,associate,mayor,chief,False
88,associate,first,win,False
89,associate,rust,dirt,False
90,associate,button,red,False
91,associate,phrase,quote,False
92,associate,scarce,food,False
93,associate,ducks,chicks,False
94,associate,sunday,church,False
95,associate,ax,chop,False
96,associate,slave,trader,False
97,associate,watch,guard,False
98,associate,football,baseball,False
99,associate,descent,man,False
100,associate,blues,brothers,False
101,associate,seed,plant,False
102,associate,negotiation,deal,False
103,associate,faint,dizzy,False
104,associate,assistant,aide,False
105,associate,fashion,market,False
106,associate,define,describe,False
107,associate,astronomy,star,False
108,associate,due,assignment,False
109,associate,fence,jump,False
110,associate,standard,morals,False
111,associate,distinct,plain,False
112,associate,give,offer,False
113,associate,trigger,fire,False
114,associate,cemetery,scary,False
115,associate,school,friend,False
116,associate,fix,break,False
117,associate,back,person,False
118,associate,sales,salesman,False
119,associate,beyond,after,False
120,associate,sphinx,snake,False
121,associate,peaceful,happy,False
122,associate,confess,lie,False
123,associate,fraud,deception,False
124,associate,whiskey,glass,False
125,associate,waitress,dinner,False
126,associate,song,music,False
127,associate,gifted,dumb,False
128,associate,velvet,blue,False
129,associate,wisdom,stupid,False
130,associate,popular,pretty,False
131,associate,cabin,house,False
132,associate,helpful,hand,False
133,associate,other,else,False
134,associate,scale,measure,False
135,associate,terror,pain,False
136,associate,hurt,fall,False
137,associate,turn,off,False
138,associate,sometimes,anytime,False
139,associate,elegant,fine,False
140,associate,computer,software,False
141,associate,kick,leg,False
142,associate,butler,rich,False
143,associate,gum,bubble,False
144,associate,trick,hooker,False
145,associate,soothe,smooth,False
146,associate,conflict,fight,False
147,associate,sign,language,False
148,associate,post,stamp,False
149,associate,measurement,size,False
150,associate,therapy,psychiatrist,False
151,associate,surgery,hospital,False
152,associate,uncommon,unusual,False
153,associate,matter,weight,False
154,associate,man,muscle,False
155,associate,mayor,crooked,False
156,associate,toys,store,False
157,associate,basketball,hoop,False
158,associate,mouth,face,False
159,associate,cowboy,football,False
160,associate,mattress,back,False
161,associate,cage,jail,False
162,associate,mild,medium,False
163,associate,motionless,sad,False
164,associate,cellar,door,False
165,associate,thanksgiving,pilgrims,False
166,associate,lobby,theater,False
167,associate,failure,pain,False
168,associate,blend,coffee,False
169,associate,harley,davidson,False
170,associate,officer,army,False
171,associate,capability,ability,False
172,associate,intimate,romantic,False
173,associate,contemporary,present,False
174,associate,africa,south,False
175,associate,doll,paper,False
176,associate,core,root,False
177,associate,freedom,great,False
178,associate,comedy,humor,False
179,associate,known,obvious,False
180,associate,blocks,square,False
181,associate,hazard,risk,False
182,associate,refuse,garbage,False
183,associate,paradise,vacation,False
184,associate,parkway,boulevard,False
185,associate,spit,gum,False
186,associate,nuclear,cloud,False
187,associate,outdoors,animal,False
188,associate,flashlight,torch,False
189,associate,adventure,action,False
190,associate,president,politician,False
191,associate,blast,dynamite,False
192,associate,seven,lucky,False
193,associate,knight,gallant,False
194,associate,shut,open,False
195,associate,microwave,hot,False
196,associate,guitar,singer,False
197,associate,printing,ink,False
198,associate,spoil,meat,False
199,associate,waves,surf,False
200,associate,yard,meter,False
201,associate,cap,bottle,False
202,associate,tape,red,False
203,associate,mexico,border,False
204,associate,word,alphabet,False
205,associate,bread,water,False
206,associate,strength,power,False
207,associate,capacity,zero,False
208,associate,fog,white,False
209,associate,launch,ship,False
210,associate,number,amount,False
211,associate,profession,education,False
212,associate,fishing,bass,False
213,associate,run,track,False
214,associate,some,lot,False
215,associate,hospital,room,False
216,associate,myth,fantasy,False
217,associate,reproduce,offspring,False
218,associate,normal,temperature,False
219,associate,code,number,False
220,associate,weight,loss,False
221,associate,statement,talk,False
222,associate,uneven,level,False
223,associate,express,card,False
224,associate,royalty,money,False
225,associate,cinnamon,toast,False
226,associate,tag,football,False
227,associate,traitor,lie,False
228,associate,hopeless,situation,False
229,associate,funny,clown,False
230,associate,brunette,black,False
231,associate,willing,kind,False
232,associate,climb,tree,False
233,associate,agency,talent,False
234,associate,blur,drunk,False
235,associate,marine,navy,False
236,associate,printer,ink,False
237,associate,question,learn,False
238,associate,condition,good,False
239,associate,umpire,decision,False
240,associate,childish,behavior,False
241,associate,days,long,False
242,associate,tornado,oz,False
243,associate,siding,bias,False
244,associate,chocolate,fat,False
245,associate,adorable,puppy,False
246,associate,south,west,False
247,associate,recommendation,professor,False
248,associate,be,nice,False
249,associate,zoo,animal,False
250,associate,tenor,deep,False
251,associate,person,me,False
252,associate,motor,power,False
253,associate,mineral,iron,False
254,associate,preacher,evangelist,False
255,associate,delicious,aroma,False
256,associate,semester,two,False
257,associate,critical,teacher,False
258,associate,river,riot,False
259,associate,handicap,limitation,False
260,associate,because,since,False
261,associate,confusion,know,False
262,associate,moral,justice,False
263,associate,haunt,stalk,False
264,associate,sausage,german,False
265,associate,banquet,meal,False
266,associate,grandma,care,False
267,associate,wash,wax,False
268,associate,forbid,anger,False
269,associate,caution,careful,False
270,associate,weights,iron,False
271,associate,elders,adult,False
272,associate,means,average,False
273,associate,always,sometimes,False
274,associate,treatment,chemotherapy,False
275,associate,schedule,agenda,False
276,associate,herd,goat,False
277,associate,lick,envelope,False
278,associate,worker,slave,False
279,associate,hut,home,False
280,associate,dead,sad,False
281,associate,neighborhood,suburb,False
282,associate,puddle,mud,False
283,associate,slippery,road,False
284,associate,pale,light,False
285,associate,plenty,fulfill,False
286,associate,drunk,fool,False
287,associate,attitude,bad,False
288,associate,start,begin,False
289,associate,warning,caution,False
290,associate,friends,best,False
291,associate,pound,inch,False
292,associate,latin,me,False
293,associate,seven,movie,False
294,associate,electric,razor,False
295,associate,lord,bible,False
296,associate,ray,man,False
297,associate,population,crowded,False
298,associate,hour,day,False
299,associate,parcel,land,False
300,associate,lift,push,False
301,associate,neglect,attention,False
302,associate,crush,can,False
303,associate,asteroid,comet,False
304,associate,sword,knife,False
305,associate,brook,stream,False
306,associate,tuba,saxophone,False
307,associate,flat,square,False
308,associate,threshold,wedding,False
309,associate,careful,easy,False
310,associate,handcuffs,prisoner,False
311,associate,dancer,jazz,False
312,associate,keep,lose,False
313,associate,permission,ask,False
314,associate,relation,aunt,False
315,associate,lumber,wood,False
316,associate,psalm,bible,False
317,associate,merit,points,False
318,associate,midnight,hour,False
319,associate,silk,material,False
320,associate,forget,memory,False
321,associate,colt,dodge,False
322,associate,vain,self,False
323,associate,components,things,False
324,associate,data,bank,False
325,associate,corrupt,illegal,False
326,associate,broken,ruined,False
327,associate,balloon,red,False
328,associate,contract,paper,False
329,associate,ax,blood,False
330,associate,letters,love,False
331,associate,island,deserted,False
332,associate,scream,help,False
333,associate,friend,confident,False
334,associate,absence,missing,False
335,associate,explode,boom,False
336,associate,paint,work,False
337,associate,specific,distinct,False
338,associate,glance,fast,False
339,associate,bridge,london,False
340,associate,traffic,light,False
341,associate,margin,left,False
342,associate,taboo,sex,False
343,associate,elimination,rid,False
344,associate,kind,people,False
345,associate,ill,healthy,False
346,associate,weekly,journal,False
347,associate,graduate,finally,False
348,associate,neutron,neutral,False
349,associate,cure,medicine,False
350,associate,smooth,calm,False
351,associate,unfair,injustice,False
352,associate,door,entrance,False
353,associate,slacks,shirt,False
354,associate,plates,dinner,False
355,associate,stink,stench,False
356,associate,elbow,grease,False
357,associate,shock,treatment,False
358,associate,resistance,stop,False
359,associate,physics,math,False
360,associate,rob,loss,False
361,associate,exercise,good,False
362,associate,unique,only,False
363,associate,road,track,False
364,associate,cocaine,drug,False
365,associate,jerk,pull,False
366,associate,pants,shoes,False
367,associate,unusual,irregular,False
368,associate,corporal,military,False
369,associate,grace,amazing,False
370,associate,tenor,opera,False
371,associate,lifestyle,living,False
372,associate,jerk,loser,False
373,associate,sermon,bible,False
374,associate,rule,obey,False
375,associate,mummy,bandage,False
376,associate,pearl,oyster,False
377,associate,patriot,red,False
378,associate,notice,awareness,False
379,associate,dissolve,mix,False
380,associate,bonus,plus,False
381,associate,energy,pep,False
382,associate,embrace,hold,False
383,associate,swimmer,olympics,False
384,associate,nausea,stomach,False
385,associate,thumb,nail,False
386,associate,iron,metal,False
387,associate,pink,floyd,False
388,associate,rank,class,False
389,associate,rack,closet,False
390,associate,mistake,fault,False
391,associate,disappear,magic,False
392,associate,rooster,red,False
393,associate,market,mall,False
394,associate,anarchy,freedom,False
395,associate,jack,cheese,False
396,associate,seal,snow,False
397,associate,experience,event,False
398,associate,might,force,False
399,associate,discovery,columbus,False
400,associate,distinct,special,False
401,associate,chinese,orient,False
402,associate,bag,carry,False
403,associate,still,move,False
404,associate,half,whole,False
405,associate,fiddle,violin,False
406,associate,package,bomb,False
407,associate,whom,proper,False
408,associate,thigh,up,False
409,associate,handcuffs,crime,False
410,associate,paddy,irish,False
411,associate,much,little,False
412,associate,mars,saturn,False
413,associate,temple,pray,False
414,associate,rabbit,hunt,False
415,associate,frantic,crazy,False
416,associate,volume,high,False
417,associate,safe,danger,False
418,associate,recommendation,good,False
419,associate,best,most,False
420,associate,wheat,cereal,False
421,associate,suite,apartment,False
422,associate,cone,cup,False
423,associate,bat,black,False
424,associate,brand,clothes,False
425,associate,cast,drama,False
426,associate,gymnast,sports,False
427,associate,spike,drink,False
428,associate,appear,happen,False
429,associate,sit,stay,False
430,associate,community,people,False
431,associate,shark,scary,False
432,associate,things,stuff,False
433,associate,report,final,False
434,associate,explanation,answer,False
435,associate,beard,santa,False
436,associate,union,bay,False
437,associate,through,past,False
438,associate,chorus,song,False
439,associate,air,life,False
440,associate,being,life,False
441,associate,strand,pearls,False
442,associate,snake,hiss,False
443,category,city,rome,False
444,category,toy,doll,False
445,category,weapon,tank,False
446,category,vegetable,cabbage,False
447,category,state,connecticut,False
448,category,weapon,dagger,False
449,category,state,delaware,False
450,category,tree,peach,False
451,category,state,utah,False
452,category,crime,speeding,False
453,category,flower,mum,False
454,category,disease,malaria,False
455,category,bird,pigeon,False
456,category,tree,birch,False
457,category,flower,orchid,False
458,category,sport,track,False
459,category,weapon,spear,False
460,category,liquid,gasoline,False
461,category,state,oregon,False
462,category,bird,robin,False
463,category,disease,arthritis,False
464,category,fruit,orange,False
465,category,herb,cinnamon,False
466,category,country,jamaica,False
467,category,state,indiana,False
468,category,state,minnesota,False
469,category,country,portugal,False
470,category,metal,mercury,False
471,category,city,miami,False
472,category,bird,goose,False
473,category,sport,tennis,False
474,category,bird,swan,False
475,category,bird,heron,False
476,category,bird,peacock,False
477,category,liquid,urine,False
478,category,science,botany,False
479,category,sport,gymnastics,False
480,category,country,chile,False
481,category,color,lavender,False
482,category,country,colombia,False
483,category,color,aqua,False
484,category,state,colorado,False
485,category,country,england,False
486,category,liquid,syrup,False
487,category,tree,maple,False
488,category,fish,bass,False
489,category,fruit,lemon,False
490,category,sport,wrestling,False
491,category,country,korea,False
492,category,liquid,beer,False
493,category,vegetable,tomato,False
494,category,color,gold,False
495,category,flower,daisy,False
496,category,city,tokyo,False
497,category,science,neuroscience,False
498,category,country,philippines,False
499,category,insect,hornet,False
500,category,country,italy,False
501,category,fish,dolphin,False
502,category,weapon,fist,False
503,category,bird,turkey,False
504,category,bird,eagle,False
505,category,tree,fig,False
506,category,snake,green,False
507,category,fruit,grape,False
508,category,tree,pear,False
509,category,city,cleveland,False
510,category,crime,murder,False
511,category,insect,bee,False
512,category,weapon,knife,False
513,category,herb,pepper,False
514,category,science,chemistry,False
515,category,weapon,rifle,False
516,category,state,washington,False
517,category,toy,soldier,False
518,category,disease,cold,False
519,category,herb,lavender,False
520,category,country,belgium,False
521,category,insect,moth,False
522,category,color,red,False
523,category,drug,mushrooms,False
524,category,fish,shark,False
525,category,weapon,arrow,False
526,category,insect,flea,False
527,category,relative,husband,False
528,category,state,vermont,False
529,category,state,maryland,False
530,category,toy,bicycle,False
531,category,country,spain,False
532,category,sport,boxing,False
533,category,city,chicago,False
534,category,disease,pneumonia,False
535,category,bird,dove,False
536,category,country,denmark,False
537,category,science,anthropology,False
538,category,tree,ash,False
539,category,crime,homicide,False
540,category,sport,curling,False
541,category,metal,ore,False
542,category,liquid,milk,False
543,category,snake,viper,False
544,category,city,tampa,False
545,category,country,norway,False
546,category,vegetable,squash,False
547,category,fruit,coconut,False
548,category,weapon,missile,False
549,category,snake,black,False
550,category,crime,arson,False
551,category,country,africa,False
552,category,crime,battery,False
553,category,disease,tuberculosis,False
554,category,snake,king,False
555,category,metal,titanium,False
556,category,sport,cricket,False
557,category,insect,ant,False
558,category,state,maine,False
559,category,liquid,vinegar,False
560,category,city,tulsa,False
561,category,herb,cannabis,False
562,category,fruit,pear,False
563,category,city,phoenix,False
564,category,color,blue,False
565,category,drug,antibiotics,False
566,category,country,greece,False
567,category,sport,baseball,False
568,category,liquid,lava,False
569,category,state,mississippi,False
570,category,science,biology,False
571,category,fruit,lime,False
572,category,liquid,tea,False
573,category,fruit,peach,False
574,category,metal,brass,False
575,category,bird,chicken,False
576,category,city,atlanta,False
577,category,liquid,wine,False
578,category,relative,daughter,False
579,category,science,medicine,False
580,category,bird,parrot,False
581,category,weapon,poison,False
582,category,liquid,soda,False
583,category,bird,sparrow,False
584,category,bird,vulture,False
585,category,bird,cardinal,False
586,category,toy,train,False
587,category,drug,marijuana,False
588,category,relative,granddaughter,False
589,category,fruit,tomato,False
590,category,science,sociology,False
591,category,country,india,False
592,category,science,anatomy,False
593,category,bird,finch,False
594,category,tree,spruce,False
595,category,vegetable,peas,False
596,category,relative,grandmother,False
597,category,state,texas,False
598,category,bird,duck,False
599,category,city,austin,False
600,category,sport,softball,False
601,category,sport,soccer,False
602,category,country,germany,False
603,category,state,kansas,False
604,category,state,pennsylvania,False
605,category,state,california,False
606,category,bird,canary,False
607,category,country,canada,False
608,category,sport,rugby,False
609,category,country,asia,False
610,category,color,silver,False
611,category,insect,cricket,False
612,category,fish,tuna,False
613,category,fish,salmon,False
614,category,herb,sage,False
615,category,bird,owl,False
616,category,tree,fir,False
617,category,crime,kidnapping,False
618,category,sport,golf,False
619,category,state,michigan,False
620,category,sport,football,False
621,category,country,nigeria,False
622,category,disease,flu,False
623,category,insect,spider,False
624,category,color,maroon,False
625,category,disease,als,False
626,category,snake,grass,False
627,category,tree,magnolia,False
628,category,insect,wasp,False
629,category,state,florida,False
630,category,tree,oak,False
631,category,insect,fly,False
632,category,metal,platinum,False
633,category,country,iceland,False
634,category,fruit,plum,False
635,category,insect,mosquito,False
636,category,toy,ball,False
637,category,tree,beech,False
638,category,relative,sister,False
639,category,city,sacramento,False
640,category,state,wyoming,False
641,category,country,iran,False
642,category,metal,aluminum,False
643,category,vegetable,mushroom,False
644,category,toy,kite,False
645,category,city,seattle,False
646,category,weapon,baton,False
647,category,city,baltimore,False
648,category,relative,cousin,False
649,category,liquid,coffee,False
650,category,country,thailand,False
651,category,state,georgia,False
652,category,toy,gun,False
653,category,sport,skiing,False
654,category,state,massachusetts,False
655,category,toy,truck,False
656,category,city,dallas,False
657,category,color,beige,False
658,category,city,pittsburgh,False
659,category,weapon,stick,False
660,category,relative,wife,False
661,category,state,alabama,False
662,category,weapon,sword,False
663,category,vegetable,onion,False
664,category,fruit,banana,False
665,category,tree,cherry,False
666,category,country,ireland,False
667,category,country,israel,False
668,category,bird,crane,False
669,category,snake,coral,False
670,category,metal,bronze,False
671,category,country,russia,False
672,category,liquid,vodka,False
673,category,herb,mint,False
674,category,weapon,shotgun,False
675,category,state,idaho,False
676,category,liquid,alcohol,False
677,category,metal,iron,False
678,category,country,mexico,False
679,category,state,nevada,False
680,category,tree,hickory,False
681,category,tree,aspen,False
682,category,relative,father,False
683,category,fish,pollock,False
684,category,state,alaska,False
685,category,fish,whale,False
686,category,relative,niece,False
687,category,fish,catfish,False
688,category,country,argentina,False
689,category,country,guatemala,False
690,category,weapon,grenade,False
691,category,weapon,crossbow,False
692,category,state,arizona,False
693,category,metal,tin,False
694,category,vegetable,peppers,False
695,category,fish,perch,False
696,category,disease,diabetes,False
697,category,country,switzerland,False
698,category,flower,lily,False
699,category,city,boston,False
700,category,state,oklahoma,False
701,category,country,brazil,False
702,category,disease,aids,False
703,category,flower,violet,False
704,category,drug,heroin,False
705,category,tree,apple,False
706,category,snake,garden,False
707,category,color,yellow,False
708,category,state,hawaii,False
709,category,color,black,False
710,category,fruit,blackberry,False
711,category,vegetable,carrot,False
712,category,weapon,cannon,False
713,category,country,japan,False
714,category,fruit,mango,False
715,category,city,orlando,False
716,category,state,iowa,False
717,category,weapon,handgun,False
